occasion,section,date,time,tag_id,tag_id2,duplicate,ghost_tag
1,1,01/12/2022,13:06:54.000,989.002009085551,ID989.002009085551,No,No
1,1,01/12/2022,13:06:59.000,900.226001698929,ID900.226001698929,No,No
1,1,01/12/2022,13:08:14.000,900.226001698929,ID900.226001698929,Yes,No
1,1,01/12/2022,13:08:39.000,900.226001697337,ID900.226001697337,No,Yes
1,1,01/12/2022,13:08:52.000,900.226001697337,ID900.226001697337,Yes,Yes
1,1,01/12/2022,13:09:03.000,900.226001697337,ID900.226001697337,Yes,Yes
1,2,01/12/2022,13:10:12.000,989.002009085551,ID989.002009085551,Yes,No
1,2,01/12/2022,13:10:24.000,900.226001698915,ID900.226001698915,No,Yes
1,2,01/12/2022,13:10:35.000,900.226001698915,ID900.226001698915,Yes,Yes
1,2,01/12/2022,13:11:00.000,900.226001697383,ID900.226001697383,No,Yes
1,2,01/12/2022,13:11:02.000,900.226001167733,ID900.226001167733,No,No
1,2,01/12/2022,13:11:10.000,900.226001697383,ID900.226001697383,Yes,Yes
1,2,01/12/2022,13:11:22.000,900.226001167733,ID900.226001167733,Yes,No
1,2,01/12/2022,13:11:31.000,900.226001697383,ID900.226001697383,Yes,Yes
1,2,01/12/2022,13:11:38.000,900.226001167733,ID900.226001167733,Yes,No
1,2,01/12/2022,13:11:48.000,900.226001167733,ID900.226001167733,Yes,No
1,2,01/12/2022,13:11:59.000,900.226001167733,ID900.226001167733,Yes,No
1,2,01/12/2022,13:12:17.000,900.226001167959,ID900.226001167959,No,No
1,2,01/12/2022,13:12:18.000,900.226001697406,ID900.226001697406,No,No
1,2,01/12/2022,13:12:28.000,900.226001167959,ID900.226001167959,Yes,No
1,2,01/12/2022,13:12:42.000,900.226001697406,ID900.226001697406,Yes,No
1,2,01/12/2022,13:13:26.000,900.226001698576,ID900.226001698576,No,Yes
1,2,01/12/2022,13:13:38.000,900.226001698576,ID900.226001698576,Yes,Yes
1,2,01/12/2022,13:14:09.000,900.226001167968,ID900.226001167968,No,No
1,2,01/12/2022,13:14:20.000,900.226001167968,ID900.226001167968,Yes,No
1,2,01/12/2022,13:14:39.000,900.226001167968,ID900.226001167968,Yes,No
1,2,01/12/2022,13:14:50.000,900.226001167968,ID900.226001167968,Yes,No
1,2,01/12/2022,13:15:02.000,900.226001167968,ID900.226001167968,Yes,No
1,2,01/12/2022,13:15:17.000,900.226001697251,ID900.226001697251,No,Yes
1,2,01/12/2022,13:15:28.000,900.226001697251,ID900.226001697251,Yes,Yes
1,2,01/12/2022,13:15:38.000,900.226001697251,ID900.226001697251,Yes,Yes
1,3,01/12/2022,13:15:47.000,989.002009085551,ID989.002009085551,Yes,No
1,3,01/12/2022,13:16:02.000,900.226001698401,ID900.226001698401,No,Yes
1,3,01/12/2022,13:16:13.000,900.226001698401,ID900.226001698401,Yes,Yes
1,3,01/12/2022,13:16:24.000,900.226001697332,ID900.226001697332,No,No
1,3,01/12/2022,13:16:26.000,900.226001698990,ID900.226001698990,No,No
1,3,01/12/2022,13:16:43.000,900.226001697332,ID900.226001697332,Yes,No
1,3,01/12/2022,13:16:47.000,900.226001698990,ID900.226001698990,Yes,No
1,3,01/12/2022,13:16:56.000,900.226001697332,ID900.226001697332,Yes,No
1,3,01/12/2022,13:18:07.000,900.226001697256,ID900.226001697256,No,No
1,4,01/12/2022,13:18:37.000,989.002009085551,ID989.002009085551,Yes,No
1,4,01/12/2022,13:18:42.000,900.226001698913,ID900.226001698913,No,Yes
1,4,01/12/2022,13:18:53.000,900.226001698913,ID900.226001698913,Yes,Yes
1,4,01/12/2022,13:19:22.000,900.226001698536,ID900.226001698536,No,No
1,4,01/12/2022,13:20:01.000,900.226001698913,ID900.226001698913,Yes,Yes
1,4,01/12/2022,13:20:13.000,900.226001698913,ID900.226001698913,Yes,Yes
1,4,01/12/2022,13:20:24.000,900.226001698913,ID900.226001698913,Yes,Yes
1,5,01/12/2022,13:22:38.000,989.002009085551,ID989.002009085551,Yes,No
1,5,01/12/2022,13:26:01.000,900.226001697487,ID900.226001697487,No,No
1,6,01/12/2022,13:27:04.000,989.002009085551,ID989.002009085551,Yes,No
1,6,01/12/2022,13:27:26.000,900.226001698960,ID900.226001698960,No,Yes
1,6,01/12/2022,13:27:37.000,900.226001698960,ID900.226001698960,Yes,Yes
1,6,01/12/2022,13:27:50.000,900.226001697255,ID900.226001697255,No,Yes
1,6,01/12/2022,13:27:56.000,900.226001698960,ID900.226001698960,Yes,Yes
1,6,01/12/2022,13:28:01.000,900.226001697255,ID900.226001697255,Yes,Yes
1,6,01/12/2022,13:28:15.000,900.226001697255,ID900.226001697255,Yes,Yes
1,6,01/12/2022,13:29:05.000,900.226001698561,ID900.226001698561,No,No
1,6,01/12/2022,13:31:12.000,900.226001698923,ID900.226001698923,No,Yes
1,6,01/12/2022,13:31:24.000,900.226001698923,ID900.226001698923,Yes,Yes
1,6,01/12/2022,13:31:36.000,900.226001698923,ID900.226001698923,Yes,Yes
1,6,01/12/2022,13:31:54.000,900.226001698923,ID900.226001698923,Yes,Yes
1,6,01/12/2022,13:32:11.000,900.226001698923,ID900.226001698923,Yes,Yes
1,6,01/12/2022,13:32:29.000,900.226001697277,ID900.226001697277,No,No
1,6,01/12/2022,13:33:10.000,900.226001698507,ID900.226001698507,No,Yes
1,6,01/12/2022,13:33:13.000,900.226001698937,ID900.226001698937,No,Yes
1,6,01/12/2022,13:33:23.000,900.226001698937,ID900.226001698937,Yes,Yes
1,6,01/12/2022,13:33:26.000,900.226001698507,ID900.226001698507,Yes,Yes
1,6,01/12/2022,13:33:34.000,900.226001698937,ID900.226001698937,Yes,Yes
1,6,01/12/2022,13:33:36.000,900.226001698507,ID900.226001698507,Yes,Yes
1,6,01/12/2022,13:33:47.000,900.226001698937,ID900.226001698937,Yes,Yes
1,6,01/12/2022,13:33:57.000,900.226001698937,ID900.226001698937,Yes,Yes
1,6,01/12/2022,13:34:09.000,900.226001698937,ID900.226001698937,Yes,Yes
1,7,01/12/2022,13:35:37.000,989.002009085551,ID989.002009085551,Yes,No
1,7,01/12/2022,13:35:44.000,900.226001697236,ID900.226001697236,No,Yes
1,7,01/12/2022,13:35:55.000,900.226001697236,ID900.226001697236,Yes,Yes
1,7,01/12/2022,13:36:13.000,900.226001697236,ID900.226001697236,Yes,Yes
1,7,01/12/2022,13:36:24.000,900.226001697519,ID900.226001697519,No,Yes
1,7,01/12/2022,13:36:35.000,900.226001697519,ID900.226001697519,Yes,Yes
1,7,01/12/2022,13:37:24.000,900.226001698286,ID900.226001698286,No,No
1,7,01/12/2022,13:37:36.000,900.226001698286,ID900.226001698286,Yes,No
1,8,01/12/2022,13:38:11.000,989.002009085551,ID989.002009085551,Yes,No
1,8,01/12/2022,13:38:26.000,900.226001697275,ID900.226001697275,No,Yes
1,8,01/12/2022,13:38:37.000,900.226001697275,ID900.226001697275,Yes,Yes
1,8,01/12/2022,13:38:49.000,900.226001697275,ID900.226001697275,Yes,Yes
1,8,01/12/2022,13:40:01.000,900.226001698334,ID900.226001698334,No,Yes
1,8,01/12/2022,13:40:09.000,900.226001167755,ID900.226001167755,No,No
1,8,01/12/2022,13:40:18.000,900.226001698334,ID900.226001698334,Yes,Yes
1,9,01/12/2022,13:40:43.000,989.002009085551,ID989.002009085551,Yes,No
1,9,01/12/2022,13:41:06.000,900.226001697267,ID900.226001697267,No,No
1,9,01/12/2022,13:41:39.000,900.226001698402,ID900.226001698402,No,Yes
1,9,01/12/2022,13:41:51.000,900.226001698402,ID900.226001698402,Yes,Yes
1,9,01/12/2022,13:42:02.000,900.226001698402,ID900.226001698402,Yes,Yes
1,9,01/12/2022,13:42:12.000,900.226001698402,ID900.226001698402,Yes,Yes
1,9,01/12/2022,13:42:45.000,900.226001698521,ID900.226001698521,No,Yes
1,9,01/12/2022,13:42:55.000,900.226001698521,ID900.226001698521,Yes,Yes
1,10,01/12/2022,13:43:40.000,989.002009085551,ID989.002009085551,Yes,No
1,10,01/12/2022,13:43:47.000,900.226001698358,ID900.226001698358,No,Yes
1,10,01/12/2022,13:43:59.000,900.226001698358,ID900.226001698358,Yes,Yes
1,10,01/12/2022,13:44:30.000,900.226001697504,ID900.226001697504,No,No
1,10,01/12/2022,13:44:44.000,900.226001697504,ID900.226001697504,Yes,No
1,10,01/12/2022,13:45:10.000,900.226001698907,ID900.226001698907,No,No
1,10,01/12/2022,13:45:26.000,900.226001698133,ID900.226001698133,No,No
1,10,01/12/2022,13:45:41.000,900.226001697212,ID900.226001697212,No,No
1,10,01/12/2022,13:45:49.000,900.226001698133,ID900.226001698133,Yes,No
1,10,01/12/2022,13:45:59.000,900.226001697238,ID900.226001697238,No,No
1,10,01/12/2022,13:46:22.000,900.226001697238,ID900.226001697238,Yes,No
1,10,01/12/2022,13:46:30.000,900.226001698928,ID900.226001698928,No,No
1,10,01/12/2022,13:46:42.000,900.226001698928,ID900.226001698928,Yes,No
1,10,01/12/2022,13:47:08.000,900.226001698353,ID900.226001698353,No,Yes
1,10,01/12/2022,13:47:19.000,900.226001698353,ID900.226001698353,Yes,Yes
1,10,01/12/2022,13:47:29.000,900.226001167810,ID900.226001167810,No,Yes
1,10,01/12/2022,13:47:40.000,900.226001167810,ID900.226001167810,Yes,Yes
1,10,01/12/2022,13:47:51.000,900.226001167810,ID900.226001167810,Yes,Yes
1,10,01/12/2022,13:48:12.000,900.226001698998,ID900.226001698998,No,No
1,10,01/12/2022,13:48:17.000,900.226001698388,ID900.226001698388,No,Yes
1,10,01/12/2022,13:48:27.000,900.226001698397,ID900.226001698397,No,No
